"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_GENERATION_OF_NEURONS",0.000310077519379845,0.167671001162914,0.321237597704699,1.3024796425049,0,1525,"MYOT;NPY;S100B;ALX4;CD38;SOX10;LST1;CD3E;ERBB3;LMX1A;EDNRB;SKOR2;KIAA1755;AREG;PLP1;SLITRK6;USH1C;DRD1;LMX1B;WNT1;LAMA2;GAS7;APOD;SLC39A12;IGSF10;TNN;GFRA3;RUNX3;CCK;NFIB;C3;SEMA3G;NEU4;PRRX1;WNT10B;TWIST1;DLX1;GDF7;KLF4;GNAT1;BHLHA15;ADCY10;ITGA4;ATOH1;DLX2;LGR6;NFIA;FZD10;PMP22;LPAR1;SLC6A4;WNT3A;STMND1;FRMD7;UGT8;EDNRA;ACTBL2;USH1G;WNT9B;TRPV4;GNAT2;MEF2C;TH;GDF5;CBLN1;PITX3;DHFRP1;SEMA3B;EPHA6;IL1RAPL1;SLITRK2;DAB2;COL3A1;BCL11A;MAG;SHH;OMG;CTHRC1;FGFR2;TLX2;LRRK2;MET;MATN2;OPCML;CDHR2;RP1;ALX1;ALDH1A2;FLRT1;IRX6;GRM7;TULP1;ESRP1;BMP5;PRPH2;RAB37;WNT8B;CNTN6;PAX2;TNXB;SLIT3;NTNG1;CHD5;GHRL;RSPO2;SAMD11;ITGA6;MDGA2;WNT5A;FOXA2;RELN;IRX4;DDR2;SEMA3E;BARHL1;WNT11;NDP;CDHR1;EN2;GDNF;TFAP2C;DGKG;PCARE;FLRT2;CHL1;PAX7;NR4A2;PLPPR4;BMP6;NR2F2;GBX1;GATA3;DKK1;CXCL12;CNTN5;THY1;PTPRH;FAIM2;CX3CL1;NRP2;TPBG;NPTX1;NTRK2;GRID2;FEV;TUBA4A;FOXB1;SOX9;TNR;BRINP3;CLRN1;SOX8;ERBB4;BOC;LYPD6;VCAM1;POU4F3;DRGX;IRX3;HCN1;SLC1A3;PTN;KLK6;CNTN1;BMP2;HES1;BEND6;CCND1;FLRT3;HEY2;RIT2;RASAL1;ZIC3;LRP4;MCF2;LAMB1;UNC5C;GRM5;SLIT2;KIAA0319;PHACTR1;CX3CR1;NTF4;KCNA1;VEGFC;PCSK9;SYT2;VIM;DCHS2;GATA2;OLFM3;ATP8B1;TRPC5;GRIN3A;PLXNB3;CRTAC1;EN1;ATP2B2;PLPPR5;RET;INHBA;NCAM2;RASGRF1;APOE;BCHE;HMCN2;PRKCA;DNER;PCDHAC2;CDH11;LGI4;BCL2;SEZ6;ID1;TBX6;CABP4;BCL11B;UNC5D;LPAR3;MBOAT1;ALK;WNT2;GABRB1;ADARB1;EFHC2;FZD4;DOK5;BTBD3;CASZ1;CNP;FAM151B;EGFR;MMP2;SPP1;FSCN2;CPNE8;LAMA1;NOTCH2;APOA4;BRINP1;MGARP;TRPV2;NYAP2;ARHGEF28;EPHB1;TOX;ROBO4;ID3;SRGAP2C;NTM;PRKN;ANKRD24;PTPRO;SLC9A6;NLGN3;CPNE5;PTPRJ;CTF1;LAMB2;TNIK;DCDC2;CDON;TENM1;CCDC39;ZEB2;VLDLR;PCDH12;SPRY3;DMD;TSPO;TMEM106B;WNT4;BCL6;BDNF;UNC5A;ACSL6;PLXNC1;SLC4A10;SDK2;FOS;RIMS1;SLITRK3;PCP4;NRG3;NEDD4;TRIM67;IRX5;CHODL;PTPRG;SRGAP2;KREMEN1;EFNA5;DNAAF4;NEGR1;BRINP2;GDF6;VWC2;SH3GL2;TBX20;TRAPPC9;TAFA1;ID2;LONRF2;WNT9A;CAMK2A;NTN3;TAL1;SFRP2;ATP8A2;INPP5F;NEFH;GABRA5;CLN8;ASTN2;FOXP2;WNT2B;JAK2;SPOCK1;ASTN1;OPHN1;NRP1;ALCAM;LMO4;ITM2C;PRAG1;PTPRM;SEMA4F;ZHX2;RAB13;PTEN;RTN4IP1;SEMA5A;SEMA3C;SPART;MYLIP;TGFB2;APLP2;ROM1;ABLIM1;ZDHHC15;PLXNA4;NGEF;CLN5;CDH4;ADGRV1;DMRT3;ADORA2A;ARSB;TMC1;SMARCD3;MAP7D2;TWF1;SCARB2;ATP7A;CSPG5;ITPKA;SMAD3;GBA1;SEMA3A;SCLT1;VEGFD"
"GOBP_NEUROGENESIS",0.000317158261972724,0.167671001162914,0.313477861833472,1.27964615666572,0,1765,"MYOT;FGF5;NPY;S100B;ALX4;GPR17;CD38;PRDM6;SOX10;LST1;P2RY12;CD3E;ERBB3;LMX1A;EDNRB;SKOR2;KIAA1755;AREG;PLP1;IGF1;SLITRK6;USH1C;DRD1;CHRM1;LMX1B;WNT1;LAMA2;CFH;GAS7;APOD;SLC39A12;IGSF10;TNN;GFRA3;PENK;RUNX3;CCK;NFIB;C3;SEMA3G;NEU4;PRRX1;WNT10B;TWIST1;DLX1;GDF7;KLF4;GNAT1;BHLHA15;ADCY10;ITGA4;ATOH1;DLX2;LGR6;NFIA;FZD10;LAMC3;PMP22;LPAR1;TBX2;SLC6A4;WNT3A;STMND1;FRMD7;UGT8;EDNRA;ACTBL2;USH1G;WNT9B;SH3TC2;TRPV4;APCDD1;GNAT2;MEF2C;TH;GDF5;CBLN1;PITX3;DHFRP1;GPER1;SEMA3B;RARB;EPHA6;IL1RAPL1;SLITRK2;IL33;DAB2;ADGRG6;COL3A1;BCL11A;MAG;SHH;OMG;CTHRC1;FGFR2;TLX2;LRRK2;MET;MATN2;OPCML;CDHR2;RP1;ALX1;ALDH1A2;FLRT1;IRX6;GRM7;TULP1;ESRP1;BMP5;PRPH2;FGF16;RAB37;WNT8B;RASSF10;CNTN6;PAX2;TNXB;SLIT3;NTNG1;CHD5;GHRL;RSPO2;SAMD11;ITGA6;MDGA2;DRD3;WNT5A;FOXA2;RELN;IRX4;C5AR1;DDR2;SEMA3E;BARHL1;WNT11;NDP;CDHR1;EN2;GDNF;TFAP2C;DGKG;PCARE;FLRT2;CHL1;PAX7;NR4A2;PLPPR4;BMP6;NR2F2;GBX1;GATA3;DKK1;GPR157;CXCL12;CNTN5;ANO1;THY1;PTPRH;FAIM2;CX3CL1;NRP2;GRIN2A;TPBG;NPTX1;NTRK2;GRID2;FEV;TUBA4A;TREM2;FOXB1;SOX9;TNR;BRINP3;CLRN1;SOX8;ERBB4;BOC;LYPD6;VCAM1;POU4F3;DRGX;IRX3;HCN1;NR3C1;SLC1A3;PTN;KLK6;CNTN1;BMP2;HES1;BEND6;CCND1;FLRT3;HEY2;RIT2;RASAL1;ZIC3;LRP4;MCF2;LAMB1;UNC5C;GRM5;SOX6;SLIT2;KIAA0319;PHACTR1;CX3CR1;NTF4;KCNA1;VEGFC;PCSK9;SYT2;VIM;DCHS2;EPM2A;GATA2;OLFM3;ATP8B1;TRPC5;GRIN3A;PLXNB3;CRTAC1;EN1;ATP2B2;PLPPR5;RET;INHBA;FGF19;NCAM2;RASGRF1;APOE;VCAN;ANXA2;BCHE;HMCN2;SPINT1;PRKCA;DNER;PCDHAC2;CDH11;HAP1;LGI4;BCL2;PLPP3;SEZ6;P2RY1;ID1;TBX6;CABP4;SOX13;DAAM2;BCL11B;UNC5D;LPAR3;MBOAT1;ALK;WNT2;GABRB1;FGF10;ADARB1;EFHC2;FZD4;DOK5;BTBD3;CASZ1;CNP;FAM151B;EGFR;MMP2;SPP1;FSCN2;CPNE8;LAMA1;NOTCH2;APOA4;BRINP1;MGARP;TRPV2;NYAP2;ARHGEF28;EPHB1;TOX;ROBO4;ID3;CCL2;SRGAP2C;NTM;PRKN;ANKRD24;PTPRO;SLC9A6;NLGN3;CPNE5;PTPRJ;CTF1;LAMB2;TNIK;DCDC2;CDON;IL6ST;TENM1;CCDC39;ZEB2;VLDLR;PCDH12;SPRY3;DMD;TSPO;TMEM106B;WNT4;BCL6;BDNF;UNC5A;ACSL6;PLXNC1;SLC4A10;SDK2;FOS;RIMS1;SLITRK3;PCP4;NRG3;NEDD4;TRIM67;IRX5;CHODL;PTPRG;SRGAP2;PRKCH;KREMEN1;EFNA5;DNAAF4;HMGA2;NEGR1;BRINP2;GDF6;VWC2;SH3GL2;TBX20;TRAPPC9;TAFA1;ID2;SLC1A1;LONRF2;ZNF488;WNT9A;CAMK2A;NTN3;TAL1;SFRP2;ATP8A2;INPP5F;NEFH;GABRA5;CLN8;CSF1;ASTN2;FOXP2;WNT2B;JAK2;SPOCK1;ASTN1;OPHN1;NRP1;ALCAM;LMO4;ITM2C;PRAG1;FGF12;PTPRM;SEMA4F;ZHX2;RAB13;PTEN;RTN4IP1;SEMA5A;SEMA3C;PLAG1;SPART;MYLIP;TGFB2;APLP2;ROM1;ABLIM1;ZDHHC15;PLXNA4;NGEF;ETV6;CLN5;CDH4;ADGRV1;DMRT3;NOS1;PRX;ADORA2A;AZU1;ARSB;TMC1;SMARCD3;NAV3;MAP7D2;TWF1;SCARB2;ATP7A;CSPG5;ITPKA;SMAD3;GBA1;SEMA3A;SCLT1;VEGFD;SGK1;ADGRB3;SLC8A3;WNT3;CTDSP1;NRXN3;CXCR4;SLC23A2;AGBL4;NBL1;YAP1;PLK5;SYN1;TTC8;PLEC;LEF1;NF2;B4GAT1;TENM3;HOXD9;NRN1;CNTN4;PRKCQ;CSPG4;FGF13;ERBB2;NDE1;CLSTN3;LEPR;WASF2;FZD1;IMPACT;ATP9A;ROBO1;CTNNB1;GSX1;CLU;OLIG3;NEXMIF;ANK3"
"GOBP_NEURON_DEVELOPMENT",0.000292226767971946,0.167671001162914,0.332043056223693,1.33110283191444,0,1181,"MYOT;NPY;S100B;ALX4;CD38;LST1;CD3E;LMX1A;EDNRB;SKOR2;KIAA1755;AREG;PLP1;SLITRK6;USH1C;DRD1;LAMA2;GAS7;APOD;SLC39A12;TNN;GFRA3;RUNX3;CCK;NFIB;C3;SEMA3G;NEU4;PRRX1;GDF7;KLF4;GNAT1;BHLHA15;ADCY10;ITGA4;ATOH1;LGR6;PMP22;LPAR1;WNT3A;STMND1;FRMD7;UGT8;EDNRA;ACTBL2;USH1G;TRPV4;GNAT2;MEF2C;TH;PITX3;DHFRP1;SEMA3B;EPHA6;IL1RAPL1;SLITRK2;DAB2;BCL11A;MAG;SHH;OMG;CTHRC1;FGFR2;TLX2;LRRK2;MATN2;OPCML;CDHR2;RP1;ALX1;FLRT1;GRM7;TULP1;BMP5;PRPH2;RAB37;CNTN6;PAX2;TNXB;SLIT3;NTNG1;GHRL;SAMD11;ITGA6;WNT5A;RELN;DDR2;SEMA3E;NDP;CDHR1;EN2;GDNF;DGKG;PCARE;FLRT2;CHL1;NR4A2;PLPPR4;GBX1;GATA3;DKK1;CXCL12;CNTN5;THY1;PTPRH;CX3CL1;NRP2;TPBG;NPTX1;NTRK2;GRID2;FEV;FOXB1;TNR;CLRN1;BOC;POU4F3;DRGX;HCN1;SLC1A3;PTN;KLK6;CNTN1;HES1;FLRT3;RIT2;RASAL1;LRP4;MCF2;LAMB1;UNC5C;GRM5;SLIT2;KIAA0319;PHACTR1;NTF4;SYT2;VIM;DCHS2;GATA2;OLFM3;ATP8B1;TRPC5;GRIN3A;PLXNB3;CRTAC1;EN1;PLPPR5;RET;NCAM2;RASGRF1;APOE;HMCN2;PRKCA;PCDHAC2;CDH11;LGI4;BCL2;SEZ6;TBX6;CABP4;BCL11B;UNC5D;LPAR3;MBOAT1;ALK;GABRB1;ADARB1;EFHC2;FZD4;BTBD3;CNP;FAM151B;MMP2;SPP1;FSCN2;CPNE8;LAMA1;NOTCH2;APOA4;BRINP1;MGARP;TRPV2;NYAP2;ARHGEF28;EPHB1;TOX;ROBO4;SRGAP2C;NTM;PRKN;ANKRD24;PTPRO;SLC9A6;NLGN3;CPNE5;PTPRJ;CTF1;LAMB2;TNIK;DCDC2;TENM1;CCDC39;ZEB2;VLDLR;PCDH12;SPRY3;DMD;TSPO;TMEM106B;BDNF;UNC5A;PLXNC1;SLC4A10;RIMS1;SLITRK3;NEDD4;TRIM67;IRX5;CHODL;PTPRG;SRGAP2;KREMEN1;EFNA5;NEGR1;SH3GL2;ID2;LONRF2;CAMK2A;NTN3;SFRP2;ATP8A2;INPP5F;NEFH;GABRA5;JAK2;SPOCK1;OPHN1;NRP1;ALCAM;LMO4;ITM2C;PRAG1;PTPRM;SEMA4F;RAB13;PTEN;RTN4IP1;SEMA5A;SEMA3C;SPART;MYLIP;TGFB2;APLP2;ROM1;ABLIM1;ZDHHC15;PLXNA4;NGEF;CLN5;CDH4;ADGRV1;ADORA2A;ARSB;TMC1;MAP7D2;TWF1;SCARB2;ATP7A;CSPG5;ITPKA;SMAD3;GBA1;SEMA3A;SCLT1;SGK1;ADGRB3;WNT3;NRXN3;SLC23A2;AGBL4;NBL1;PLK5;SYN1;TTC8;B4GAT1;TENM3;HOXD9;NRN1;CNTN4;PRKCQ;FGF13;ERBB2;CLSTN3;FZD1;IMPACT;ATP9A;ROBO1;CTNNB1;OLIG3;ANK3;EPHA7;AHI1;CPNE6;SHTN1;BMP7;B4GALT6;OLIG1;KLHL1;NRXN1;PSPN;AP2A1;CNGB1;PLXNB2;SIPA1L1;PRKG1;KCNB1;DCLK1;FSTL4;ATP1B2;TMEM108;SEMA4G;BLOC1S3;SEMA4A;NR2E3;CDH23;PRICKLE1;NFE2L2;CTNND2;SMIM45;PPP3CA;FN1;CAMK2B;ALKAL1;EPHB6;LTK;ERCC6;EIF2AK4;POU4F2;RNF157;ISLR2;PHOX2A;METRN;PLXND1;COBL;RPGRIP1L;PTPN9;MAGI2;KIDINS220;LYN;MEGF8;SRCIN1;GRN;ADAM17;ULK2;RAP2A;EHD1;TENM4;DISC1;ADCY1;VCL;XK;FBXO41;PRKCZ;NEFL;CLMN;REST;RUNX1;BMPR2;CDKL5;TIAM1;MYH10;MTR;RDH13;DCLK2;PAK6;PPT1;NR4A3;ATXN10;ZNF335;ITSN2;PBX1"
"GOBP_SYNAPSE_ORGANIZATION",0.000512820512820513,0.203333333333333,0.36280891671835,1.39907004183167,1,593,"MYOT;SPARCL1;ERBB3;LMX1A;SLITRK6;DRD1;PCDHB5;IL1RAPL2;C3;NFIA;LRRC15;GSG1L;WNT3A;ACTBL2;MEF2C;CBLN1;IL1RAPL1;SLITRK2;EGFLAM;LRRK2;OPCML;FLRT1;SLC6A1;AMIGO2;GABRE;CNTN6;ICAM5;NTNG1;GHRL;WNT5A;RELN;C5AR1;SEMA3E;ITGB3;GDNF;GABRA1;CBLN2;TRIM47;FLRT2;PLPPR4;DKK1;CNTN5;SRPX2;IL1RAP;THBS2;LINGO2;CX3CL1;NRP2;TPBG;NPTX1;NTRK2;GRID2;VSTM5;TREM2;TNR;ERBB4;GABRA2;ARHGAP22;FLRT3;LAMC1;GRIA1;LSAMP;PCDHB6;PLS3;LRP4;LAMB1;GRM5;ASIC2;CX3CR1;GRM6;SRGAP2B;SYN2;PLXNB3;CRTAC1;GABRA3;APOE;HMCN2;PRKCA;DNER;SEZ6;LRFN5;TANC1;LGI2;SYBU;CSMD2;DOCK1;GABRG2;ACHE;LAMA1;PRNP;EPHB1;SRGAP2C;NTM;PTPRO;NLGN3;LRRTM1;LAMB2;CACNA2D3;CCDC39;VLDLR;PPFIBP1;BDNF;GLRB;FRRS1L;PLXNC1;ADGRB2;SDK2;RIMS1;FRMPD4;SLITRK3;CDH9;NRG3;NEDD4;BCAN;SPTB;SRGAP2;PCDHB9;TLN2;EFNA5;C1QL4;NEGR1;SH3GL2;SLC1A1;GPR158;CACNA2D2;SHANK2;NEFH;GABRA5;C1QL3;LRRTM3;PPFIBP2;OPHN1;NRP1;HAPLN4;NECTIN3;PTEN;PDZRN3;IL10RA;CDH10;GABRG3;SYN3;ZDHHC15;PLXNA4;NGEF;ZDHHC2;GPC4;NLGN4Y;SPOCK2;CDH6;ITPKA;SMAD3;ADGRB3;SLC8A3;NRXN3;SYN1;VPS35;RHOB;NRXN2;CAST;ERC1;NRN1;CNTN4;FGF13;ERBB2;CLSTN3;WASF2;FZD1;CBLN3;CTNNB1;ANK3;EPHA7;S1PR2;CPNE6;NRXN1;SNCB;PLXNB2;SIPA1L1;DRP2;TMEM108;SPARC;SEMA4A;PCDHGC4;PRICKLE1;PCDHB16;FZD9;COLQ;CTNND2;ETV5;CAMK2B;IGSF21;LRFN3;PLXND1;ARHGEF9;NEDD9;SRCIN1;LARGE1;GRN;SIGMAR1;RAP2A;TENM4;DISC1;DNM3;NEFL;LHFPL4;CLSTN2;PTPN13;REST;CDKL5;MYH10;DIXDC1;NPAS4;LRFN2;GRIN2B;FARP1;AKAP5;LRRN3;SLC18A3;CACNB2;PPFIA2;DOCK10;AMIGO1;KIF1A"
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.000979431929480901,0.220033296337403,0.368637429452505,1.37551137261922,3,384,"CFC1B;RGCC;ASPN;SPI1;SOST;CCN3;SKOR2;GDF10;HOXA13;TGFBR2;TFAP2B;WNT1;MSX2;CRIPTO3;DLX1;GDF7;MSX1;BAMBI;NFIA;CHRDL2;TMEM119;GDF5;SFRP4;DAB2;COL3A1;SHH;TNFAIP6;TGFBR3;FBN1;INHBB;BMP5;FSTL5;INHA;HTRA1;WNT5A;NDP;LTBP2;GDF3;HFE;DKK3;COL1A2;BMP6;DKK1;SMAD9;SMAD6;THBS1;WWTR1;GATA4;LTBP3;FERMT1;LDLRAD4;SULF1;BMP2;ITGB5;HES1;ENG;FSTL1;ATOH8;KIAA0319;CD109;ACVRL1;FMOD;INHBA;SOSTDC1;LOX;ETV2;ID1;NPNT;CIDEA;FGF10;SPTBN1;WFIKKN2;PRDM16;GDF9;NOTCH2;SLC2A10;ZEB2;VASN;FOS;PMEPA1;EMILIN1;ADAM9;CRIPTO;GDF6;GLCE;VWC2;TBX20;SFRP2;SPRED1;JAK2;ITGB8;TGFB1I1;SPART;ITGA8;TGFB2"
"GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT",0.00110987791342952,0.220033296337403,0.473312632609247,1.58583087810664,4,128,"CD38;SEMA3G;NEU4;PMP22;LPAR1;WNT3A;TRPV4;DAB2;BCL11A;MAG;LRRK2;WNT5A;DKK1;THY1;TNR;HES1;RIT2;LRP4;MCF2;GRM5;SLIT2;KIAA0319;VIM;APOE;TBX6;SPP1;MGARP;PTPRO;PTPRG;KREMEN1;INPP5F;SPOCK1;NRP1;ITM2C;PRAG1;SEMA4F;PTEN;SEMA5A;SPART;MYLIP;NGEF"
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",0.000751314800901578,0.220033296337403,0.355474055986511,1.35661377829528,2,509,"NPY;S100B;CD38;IGF1;DRD1;CHRM1;LAMA2;CNR2;ITPR3;PENK;PLAT;GSG1L;SLC6A4;WNT3A;KMO;MEF2C;CBLN1;GPER1;RAP1BL;CHRNA6;ADRA1A;GUCY1A1;LRRK2;SV2B;CLMP;SLC24A2;SHISA8;GRM7;HRH1;NALCN;PHF24;CRH;HTR2A;NTNG1;GHRL;DRD3;WNT5A;RELN;DRD5;DLGAP2;TACR2;GRIK2;SNCAIP;CBLN2;TYROBP;PLPPR4;CHRM2;DKK1;ACE;GLRA2;CX3CL1;CRHR2;GRIN2A;MCTP2;NTRK2;GRID2;ATP1A2;TNR;LYPD6;NPY5R;HCN1;SLC1A3;PTN;CALB1;GRIA1;VGF;GRM5;CX3CR1;GABRR1;NTF4;GRM6;SYT2;GRIN3A;CPLX4;RASGRF1;APOE;GRIN3B;GRIN1;BCHE;SLC24A1;PRKAR1B;CDH11;HAP1;P2RY1;PLK2;CHRNA2;GRIN2C;AKAP12;GABRB1;GABRG2;ACHE;SV2C;CYP46A1;PRNP;EPHB1;CCL2;PRKN;GRIA2;GRIK4;NLGN3;APBA1;DYSF;LRRTM1;CAMK2D;GLRA3;BDNF;FRRS1L;SLC4A10;RIMS1;NRG3;C1QL4;CNTNAP4;ADCY8;SLC1A1;CAMK2A;GPR158;CACNA2D2;SHANK2;NEFH;C1QL3;CALB2;RASGRF2;CALN1;JAK2;OPHN1;PTEN;SYN3;UNC13C;PACSIN2;ZDHHC2;ADORA2A;CELF4;FAAH;HSPG2;SYT13;CSPG5;ITPKA;CHRNA4;KCNK2;SLC8A3;AKAP7;CHRNB3;ADORA2B;NRXN3;SYN1;VPS35;SLC7A10;NRXN2;NRN1;CNTN4;SYNGR1;CLSTN3;RGS4;CBLN3;ELOVL4;PINK1;ADRA2A;EPHA7;S1PR2;FER1L5;PREPL;USP8;STAT3;NRXN1;SQSTM1;DLGAP1;SIPA1L1;CALHM2;KCNB1;SERPINE2"
"GOBP_SYNAPTIC_SIGNALING",0.00108049702863317,0.220033296337403,0.327826146780614,1.29004382971468,3,810,"MPZ;NPY;SLC6A2;S100B;CD38;GALR3;PLP1;IGF1;DRD1;CHRM1;LAMA2;CNR2;PCDHB5;CACNA1G;ITPR3;PENK;PLAT;GSG1L;PDE7B;PMP22;SLC6A4;WNT3A;UTS2;KMO;MEF2C;TH;CBLN1;P2RX7;GPER1;RAP1BL;CHRNA6;IL1RAPL1;ADRA1A;RPH3A;NTSR1;GUCY1A1;LRRK2;SV2B;MET;CLMP;CHRM3;SLC24A2;SHISA8;GRM7;SLC6A1;HRH1;SLC18A2;HTR3B;GABRE;NALCN;PHF24;GAD2;CRH;HTR2A;HCRTR1;NTNG1;GHRL;DRD3;WNT5A;RELN;DRD5;DLGAP2;GDNF;GABRA1;SLC1A7;TACR2;GRIK2;SNCAIP;CBLN2;TYROBP;INSYN2A;SLC17A8;RASD2;PLPPR4;CHRM2;DKK1;ACE;IL1RAP;GLRA2;CX3CL1;CRHR2;GRIN2A;TPBG;MCTP2;NPTX1;HTR5A;SLC5A7;NTRK2;GRID2;ATP1A2;TNR;LY6S;LYPD6;HCRTR2;HTR1E;NPY5R;GABRA2;HCN1;NR3C1;SLC1A3;PTN;CALB1;SGCZ;SCN2B;KCNIP1;RIT2;GRIA1;PCDHB6;LYNX1;VGF;GRM5;CX3CR1;GABRR1;NTF4;GRM6;PDYN;SYT2;GRIN3A;SYN2;CARTPT;CPLX4;RASGRF1;GABRA3;APOE;GRIN3B;GRIN1;BCHE;SLC24A1;PRKAR1B;SLC6A5;OPRK1;CDH11;HAP1;LYPD1;SEZ6;P2RY1;PLK2;HRH4;DLG2;CHRNA2;GRIN2C;LPAR3;AKAP12;GABRB1;HTR3A;ADARB1;ABTB3;GABRG2;CNP;ACHE;HTR1B;SV2C;HTR2B;CYP46A1;PRNP;LY6H;EPHB1;CCL2;PRKN;GRIA2;GRIK4;NLGN3;APBA1;DYSF;LRRTM1;HRH2;SLC32A1;DMD;CAMK2D;GLRA3;NPFF;BDNF;GLRB;FRRS1L;SLC4A10;GAD1;RIMS1;SLITRK3;NRG3;DOC2B;P2RX5;PCDHB9;GABBR2;C1QL4;CNTNAP4;GLRA1;GPR176;ADCY8;SLC1A1;CNIH3;CAMK2A;GPR158;CACNA2D2;SHANK2;NEFH;GABRA5;C1QL3;CALB2;RASGRF2;CALN1;JAK2;OPHN1;FGF12;HAPLN4;PTEN;SNTA1;GABRG3;SYN3;HTR6;UNC13C;PACSIN2;KCND2;ZDHHC2;NOS1;ADORA2A;CELF4;FAAH;KCND3;HSPG2;SYT9;EFR3A;SYT13;CSPG5;ITPKA;CHRNA4;RIMBP3;KCNK2;HTR7;SLC8A3;AKAP7;CHRNB3;ADORA2B;NRXN3;KCNC4;CACNA1E;RAB3B;SYN1;VPS35;SLC7A10;NRXN2;NRN1;CNTN4;SYNGR1;CLSTN3;RGS4;CBLN3;ELOVL4;PINK1;CTNNB1;ADRA2A;EPHA7;S1PR2;FER1L5;DAGLA;CHRNA9;PREPL;USP8;STAT3;NRXN1;SQSTM1;SNCB;DLGAP1;SIPA1L1;CALHM2;DRP2;KCNB1;CLCN3;SERPINE2;AMPH;PTPRN2;TMEM108;CHAT;GRIA4;SYPL1;SNAP29;SLC1A4;PCDHB16;ADAM22;COLQ;PRKAR1A;RARA;ETV5;PPP3CA;CAMK2B"
"GOBP_ENSHEATHMENT_OF_NEURONS",0.00178531577772819,0.314612313719656,0.450631255205027,1.53577457537471,7,151,"MPZ;S100B;SOX10;ERBB3;GJC3;PLP1;IGF1;CFH;ITGAX;PMP22;LPAR1;UGT8;DHH;SH3TC2;ADGRG6;MAG;CDK18;MAL;CLDN11;PLLP;NTRK2;PTN;KLK6;CNTN1;TG;MALL;MARVELD1;MAL2;SCN2A"
"GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION",0.00231362467866324,0.319523809523809,0.336398074369567,1.29839155407886,8,603,"MYOT;S100B;LMX1A;SKOR2;KIAA1755;SLITRK6;USH1C;LAMA2;TNN;GFRA3;CCK;NFIB;SEMA3G;GDF7;ADCY10;ITGA4;ATOH1;LGR6;WNT3A;EDNRA;ACTBL2;MEF2C;SEMA3B;EPHA6;IL1RAPL1;SLITRK2;BCL11A;MAG;SHH;FGFR2;TLX2;LRRK2;MATN2;CDHR2;CNTN6;PAX2;SLIT3;NTNG1;WNT5A;RELN;SEMA3E;NDP;CDHR1;GDNF;FLRT2;CHL1;NR4A2;PLPPR4;GBX1;GATA3;CXCL12;CNTN5;THY1;PTPRH;NRP2;TPBG;NPTX1;NTRK2;FOXB1;TNR;CLRN1;BOC;POU4F3;DRGX;SLC1A3;PTN;CNTN1;HES1;FLRT3;LRP4;MCF2;UNC5C;GRM5;SLIT2;KIAA0319;PHACTR1;DCHS2;TRPC5;PLXNB3;RET;APOE;HMCN2;PRKCA;PCDHAC2;CDH11;BCL2;CABP4;BCL11B;UNC5D;LPAR3;ADARB1;EFHC2;FZD4;BTBD3;CNP;SPP1;NOTCH2;TRPV2;ARHGEF28;EPHB1;ROBO4;ANKRD24;PTPRO;SLC9A6;NLGN3;PTPRJ;LAMB2;TNIK;DCDC2;ZEB2;VLDLR;TMEM106B;BDNF;UNC5A;PLXNC1;SLITRK3;NEDD4;CHODL;EFNA5;ID2;NTN3;ATP8A2;NEFH;OPHN1;NRP1;ALCAM;LMO4;PTPRM;SEMA4F;PTEN;SEMA5A;SEMA3C;SPART;TGFB2;APLP2;ABLIM1;ZDHHC15;PLXNA4;NGEF;CDH4"
