"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0.000141222991102952,0.00967138103161398,0.436346332485413,1.67267889494012,0,1172,"CD34;TWIST1;MYPN;GSC-DT;MSX2;CAPSL;CXCL8;TLR3;RGCC;HOXB13;TGFBI;COL3A1;TCF21;ECSCR;FOXC1;CX3CR1;WT1;WNT11;ITGB6;TFAP2B;EPGN;CYP19A1;EDNRA;MEOX1;MYOD1;RHOJ;MYOG;INHBA;COL5A2;FOXA2;NPR3;SNAI2;TBX1;TBX3;WNT3A;ALX1;TBX18;TNN;GHRL;ITGA8;IGFBP7;S100A1;MSX1;TNMD;GSC;TGFBR2;ALDH1A3;TYROBP;GATA3;FAP;OSR1;WNT1;ITGA4;COL1A1;TIE1;NOX5;ENAM;PNLDC1;RS1;TBX5;SRPX2;TM4SF1;RARG;BMP5;GDF7;SULF1;EPAS1;PTF1A;GATA6;SIX2;MMP14;HAND2;EMILIN1;PECAM1;PDGFRA;FN1;ETS1;GATA2;MAG;TREM2;IL1A;ENG;WNT2;FOXC2;MYOZ2;COL5A1;DCN;SLC39A12;ADGRG6;ID1;ANXA1;PDGFRB;STAB2;ESM1;CXCL13;NFATC2;FLT1;ADAMTS1;SNAI1;DMP1;COL8A2;GJA5;ADAMTS15;CCL2;HAND1;PMP22;CCBE1;ITGB3;PPARG;FOXD1;MYL9;WNT6;DSPP;EDN2;ANGPTL6;ELK3;LAMB1;CSPG4;FBLN5;COL12A1;TLX2;ATOH8;GREM1;TBX2;TNNT2;ACTC1;CCN2;WLS;COL11A1;EHD2;HOXA7;OTOP1;ADM;GATA1;KRT8;BMP4;CLDN5;SLC24A4;CDX2;LOXL2;CAPN3;CBLN1;ADGRA2;EMILIN2;FOLR1;WNT2B;SPHK1;FOXJ1;COL4A1;CDH11;THBS1;DKK1;STRA6;EDN1;SPARC;KRT19;RSPO3;MEF2C;TGFB1;TGM2;ITGA5;NTF4;PDGFB;HES1;MMP2;ACVRL1;AGTR1;SMOC2;NFATC4;PLK2;SYK;PTPRB;HEYL;JCAD;CCN3;BMP2;WNT5A;RRAS;PLLP;COL18A1;TANC1;ETV2;FBN2;GATA5;GJA1;SFRP2;OPTC;PTGS2;MAFB;PLXND1;CAV1;ADAMTS5;GATA4;VEGFD;VEGFC;NRP2;LMOD1;TNFSF13B;MFAP2;PARVA;DLC1;COL4A2;HSPB1;TGFBR3;NFIB;TGIF1;ITGB5;BMPER;COL8A1;TNFRSF12A;CHAD;HOXA11;TBX4;GRHL3;ANKRD1;CACNA1S;HSPG2;STARD13;FLNC;PGM5;TFAP2A;ANXA3;ANGPT1;ISM1;APOD;TMIGD2;CIB1;GRHL2;C3AR1;TGFB2;ITGAV;HEY1;BMP7;NKX2-5;MFGE8;CD109;CDH5;SPRY1;SASH1;ADAMTS9;STK3;NPPB;PTGFRN;COL2A1;HOXB3;HOXA5;MEOX2;CSRP1;JUN;CCN1;AXIN2;NKX3-2;SDC4;EPHA2;TSPAN12;TPM1;MYMX;WNT9B;TGFA;FZD6;HSPA12B;MYH9;PLXDC1;NOTCH2;BCL2L11;EPHB4;GRID2;MCAM;B4GALT1;MYLK3;TFAP2C;FOXA1;WNT10B;DOCK1;ANXA2;SMAD3;PTPN14;BCL6;FMNL3;RIPPLY1;FGFR2;CD36;WNT4;TPM4;AQP1;IL12A;MDK;FHL2;GPNMB;PROK1;RECK;EGFL7;MMP19;JAG1;ITGB1;MPIG6B;RPL9;HIF3A;HMGA2;EYA2;ACTN1;HEY2;APOLD1;GRN;E2F8;TNFAIP3;FJX1;RBM46;PLCD3;ZEB2;DOCK5;VTN;IRX1;SLC40A1;UGT8;NPHS1;WASF2;RAPGEF3;GBX2;TBX19;CASP8;POFUT1;NOTCH3;SYNPO2L;PTK7;GDNF;RPL27;ANGPT2;NOS3;EXT1;RPLP1;UNC13D;FURIN;TTN;SPINK5;PAX2;EHD4"
"GOBP_ANIMAL_ORGAN_MORPHOGENESIS",0.000145180023228804,0.00967138103161398,0.46454598798114,1.76663725310251,0,983,"CD34;TWIST1;IGF1;MGP;HOXA9;MSX2;HOXC8;HOXB13;RP1;COL3A1;HOXA4;TMEM119;COL1A2;TCF21;FOXC1;WT1;WNT11;ITGB6;TFAP2B;EDNRA;PRRX1;INHBA;COL5A2;SNAI2;TBX1;TBX3;WNT3A;ALX1;TBX18;ITGA8;HOXB9;MSX1;GSC;TGFBR2;GCNT3;ALDH1A3;TBX15;DHRS3;GATA3;SLITRK6;OSR1;WNT1;CRYAA;MFRP;COL1A1;ACTG2;ALX4;ENAM;RS1;AREG;TBX5;TRPV4;RARG;BMP5;GDF7;SULF1;ID3;PTF1A;GATA6;SIX2;MMP14;HAND2;FLI1;PDGFRA;GATA2;HOXB7;ASPN;IGF2;ENG;WNT2;FOXC2;COL5A1;DCN;FOXE1;ADGRG6;ID1;GNAT1;MYL3;FOXL2;PITX3;MYL11;ODAM;SMAD6;LRRK2;ADAMTS1;SNAI1;DMP1;TNFSF11;COL8A2;GJA5;CCL2;HGF;HAND1;P2RX7;FOXD1;WNT6;HOXD8;DSPP;SFRP4;FLRT2;ALPK2;TNNC1;FBN1;SP5;TULP1;LAMB1;EVA1A;FOXF2;HOXC9;IGFBP5;SAMD11;RSPO2;ACTA2;GREM1;PAX3;TBX2;TNNT2;RARB;ACTC1;CCN2;WLS;COL11A1;HOXA7;RUNX2;OTOP1;POU4F3;ELN;BMP4;AGTR2;CLDN5;SLC24A4;FREM1;CDX2;PAX7;NR3C1;MDFI;AQP6;WWTR1;FOLR1;WNT2B;FOXJ1;BLVRB;CLRN1;DKK1;ATOH1;PKHD1;STRA6;EDN1;SPARC;NPNT;MEF2C;TGFB1;TGM2;NTF4;HES1;TMT1A;MMP2;ACVRL1;GHR;HLX;ABCC9;COL5A3;ALX3;APCDD1;TLR4;SYK;TNC;TNNI1;HEYL;RPE65;SERPINH1;BMP2;WNT5A;LRIG3;COL18A1;EFEMP2;SCN10A;LIMS2;ACTN3;CSF1;TLE2;FBN2;GATA5;ID2;SFRP2;AGT;MAFB;PLXND1;CAV1;PTN;ADAMTS5;GATA4;MYO3B;PDGFC;TNFRSF11B;VEGFC;NRP2;MFAP2;PARVA;DLC1;COL27A1;LRP4;BMP1;TGFBR3;NFIB;COL11A2;SMAD7;ADAMTS16;COL8A1;CSRNP1;CHAD;HOXA11;TBX4;HOXB8;GRHL3;HAS2;ANKRD1;LCTL;TFAP2A;PRDM1;BMP6;GRHL2;LTBP3;FOXE3;TGFB2;HEY1;COL13A1;SLC6A4;BMP7;NKX2-5;STAT6;SLIT3;COMP;HOXB4;ERBB4;LAMA1;WNT10A;FZD1;SPRY1;HMX3;ADAMTS9;COL2A1;HOXB3;HOXA5;RFLNA;NFIC;NPY5R;EFEMP1;JUN;CCN1;AXIN2;NKX3-2;EPHA2;GCNT4;TSPAN12;TPM1;WNT9B;TGFA;FZD6;NOTCH2;ZFPM2;BCL2L11;HOXB5;EPHB4;HOXD9;EGFR;TFAP2C;FOXA1;WNT10B;ADARB1;SMAD3;FGFR2;GLI1;POU4F1;HHIP;WNT4;BCAR3;DSP;AQP1;ARID5B;MDK;FHL2;JAG1;GPC3;NR2E3;LIF;FOXI1;COL9A1;CYP7B1;HMGA2;ALDH1A2;HEY2;TNFAIP3;FJX1;CCM2L;BAX;MYLK2;HEG1;IRX1;SLC40A1;CTSZ;ZIC1;CER1;GBX2;TBX19;HYAL2;ABCA12;CCDC39;SYNPO2L;PTK7;DMRT3;TSKU;GDNF;DLX1;HOXD3;NOS3;EXT1;ZHX2"
"GOBP_AORTIC_VALVE_MORPHOGENESIS",0.000183519911910442,0.00967138103161398,0.741237932200143,1.99720055705144,0,39,"TWIST1;SNAI2;TGFBR2;GATA3;TIE1;EMILIN1;SMAD6;SNAI1;ELN;BMP4;CDH11;TGFB1;NFATC1;HEYL;GATA5;ADAMTS5;GATA4;HEY1;NKX2-5;SLIT3;AXIN2;JAG1;HEY2;NOS3;NPPA"
"GOBP_APOPTOTIC_SIGNALING_PATHWAY",0.000153491941673062,0.00967138103161398,0.38047897482308,1.40867072818844,0,597,"IL33;CD38;IGF1;MAEL;TLR3;CLEC7A;CX3CR1;LTB;INHBA;SNAI2;MSX1;ERBB3;TNFRSF10C;WNT1;CASP4;BMP5;TREM2;IL1A;CD3E;MAL;METTL21C;LRRK2;SNAI1;TNFSF11;GPER1;HGF;P2RX7;PPARG;TMC8;IER3;ACSL5;CDKN2A;TPD52L1;SLFN12;IL19;GATA1;KRT8;BIRC3;BMP4;AGTR2;PLAUR;LAPTM5;CXCL12;NR4A2;PTPRC;THBS1;CD5;TGFB1;NGF;MMP2;NFATC4;BMF;TLR4;SYK;TNFSF15;KRT18;WNT5A;SPI1;NFKBIZ;HIC1;EYA4;SFRP2;PTGS2;TMBIM1;AGT;CDKN1A;CAV1;CA3;GATA4;FAS;EPO;CTSC;HSPB1;POU4F2;TNFRSF12A;IFI27;IL6R;LGALS3;CIB1;TGFB2;ITGAV;TP73;ANXA6;IFI16;ICAM1;FZD1;TMEM109;STK3;COL2A1;IKBKE;EPHA2;ITM2C;BCL2L11;SRPX;PDE3A;BCL2L12;SMAD3;POU4F1;WNT4;INHBB;IL12A;DAP;CASP7;TNFRSF1A;TMEM102;INCA1;EYA2;TNFAIP3;BAX;LMNA;P4HB;CRH;CASP8;HYAL2;ATP2A1;SST;ATF3;ITPR1;CASP6;GDNF;UACA;BDKRB2;NOS3;PHLDA3;SPN;TPT1;TNFRSF10A;BOK"
"GOBP_APPENDAGE_DEVELOPMENT",0.000169692855930765,0.00967138103161398,0.468764566638867,1.58339290462922,0,192,"TWIST1;HOXA9;MSX2;COL3A1;TFAP2B;PRRX1;TBX3;ALX1;MSX1;OSR1;ALX4;TBX5;RARG;HAND2;GJA5;GDF5;PITX1;HOXC10;RSPO2;GREM1;TBX2;RARB;RUNX2;BMP4;DKK1;EN1;ALX3;NFIA;WNT5A;FBN2;SFRP2;LRP4;HOXA11;TBX4;TFAP2A;GRHL2;TGFB2;BMP7;COMP;KREMEN1;COL2A1;MEOX2;RAX;FZD6;NOTCH2;BCL2L11;FREM2;HOXD9;FGFR2;RECK;GPC3;ALDH1A2;PKDCC;BAX"
"GOBP_ARTERY_DEVELOPMENT",0.000177053824362606,0.00967138103161398,0.583101626584049,1.84461281055343,0,110,"COL3A1;FOXC1;WNT11;TFAP2B;EDNRA;PRRX1;TBX1;TGFBR2;HAND2;ENG;FOXC2;PDGFRB;SMAD6;GJA5;LOX;TBX2;SLC2A10;BMP4;ADGRF5;FOLR1;STRA6;EDN1;HES1;ACVRL1;EFEMP2;PLXND1;APOE;ADAMTS6;SMAD7;PRDM1;TGFB2;HEY1;COMP;ADAMTS9;FKBP10;LOXL1;MDK;JAG1;HEY2"
"GOBP_ARTERY_MORPHOGENESIS",0.00017940437746681,0.00967138103161398,0.634982544328152,1.90939250042484,0,75,"COL3A1;FOXC1;WNT11;TFAP2B;EDNRA;PRRX1;TBX1;TGFBR2;HAND2;ENG;FOXC2;PDGFRB;GJA5;TBX2;BMP4;ADGRF5;FOLR1;STRA6;EDN1;HES1;ACVRL1;EFEMP2;APOE;SMAD7;PRDM1;TGFB2;HEY1;COMP;ADAMTS9;FKBP10"
"GOBP_BIOMINERAL_TISSUE_DEVELOPMENT",0.000171174255391989,0.00967138103161398,0.534445573087622,1.77544617325964,0,164,"TWIST1;IGF1;MGP;MSX2;TMEM119;COL1A2;WNT11;ITGB6;TBX1;OTOL1;OSR1;COL1A1;ENAM;DDR2;ASPN;ADGRG6;ODAM;DMP1;PTH1R;P2RX7;LOX;WNT6;DSPP;RSPO2;GREM1;WLS;SPP1;SGMS2;OTOP1;GATA1;BMP4;SLC24A4;MEF2C;TGFB1;ALOX15;BMP2;ACTN3;FBN2;NOTUM;PTN;CYP27B1;TFAP2A;BMP6;LTBP3;HEY1;TENT5A;BMP7;COMP;RFLNA;CCN1;AXIN2;WNT10B;SMAD3;FGFR2;WNT4;GPC3;HEY2;PKDCC"
"GOBP_BLOOD_VESSEL_MORPHOGENESIS",0.000153256704980843,0.00967138103161398,0.49711156510299,1.84301258697541,0,609,"CD34;TWIST1;CAPSL;CXCL8;TLR3;RGCC;HOXB13;TGFBI;COL3A1;TCF21;ECSCR;FOXC1;CX3CR1;WT1;WNT11;TFAP2B;EPGN;EDNRA;PRRX1;RHOJ;NPR3;TBX1;TNN;GHRL;IGFBP7;S100A1;TNMD;TGFBR2;FAP;TIE1;NOX5;TBX5;SRPX2;SULF1;EPAS1;GATA6;MMP14;HAND2;EMILIN1;PECAM1;PDGFRA;FN1;ETS1;GATA2;IL1A;ENG;FOXC2;DCN;ADGRG6;ID1;ANXA1;PDGFRB;STAB2;ESM1;CXCL13;FLT1;ADAMTS1;COL8A2;GJA5;CCL2;HAND1;CCBE1;ITGB3;PPARG;LOX;EDN2;ANGPTL6;ELK3;CSPG4;FBLN5;GREM1;TBX2;CCN2;HOXA7;ADM;BMP4;CLDN5;ADGRF5;LOXL2;ADGRA2;EMILIN2;FOLR1;SPHK1;COL4A1;THBS1;EGFL8;STRA6;NR2F2;EDN1;SPARC;RSPO3;TGFB1;TGM2;ITGA5;PDGFB;HES1;MMP2;ACVRL1;AGTR1;SMOC2;NFATC4;PLK2;SYK;PTPRB;JCAD;CCN3;WNT5A;SPI1;RRAS;COL18A1;EFEMP2;ETV2;SFRP2;OPTC;PTGS2;PLXND1;CAV1;ASB4;GATA4;VEGFD;APOE;VEGFC;NRP2;PARVA;COL4A2;HSPB1;TGFBR3;SMAD7;BMPER;COL8A1;TNFRSF12A;TBX4;HAS2;HSPG2;STARD13;ANXA3;ANGPT1;PRDM1;ISM1;APOD;TMIGD2;CIB1;C3AR1;TGFB2;ITGAV;HEY1;NKX2-5;MFGE8;COMP;CDH5;LAMA1;SASH1;ADAMTS9;NPPB;HOXB3;HOXA5;MEOX2;JUN;CCN1;FKBP10;EPHA2;TSPAN12;TGFA;HSPA12B;MYH9;PLXDC1;NOTCH2;ZFPM2;EPHB4;MCAM;B4GALT1;ANXA2;FMNL3;FGFR2;CD36;WNT4;AQP1;IL12A;MDK;GPNMB;PROK1;RECK;EGFL7;MMP19;JAG1;ITGB1;HIF3A;HMGA2;HEY2;APOLD1;GRN;E2F8;TNFAIP3;PLCD3;BAX;HEG1;WASF2;RAPGEF3;GBX2;CASP8;POFUT1;NOTCH3"
"GOBP_BONE_DEVELOPMENT",0.000167224080267559,0.00967138103161398,0.531331109010764,1.81776416076862,0,218,"TWIST1;IGF1;OGN;MSX2;COL3A1;TMEM119;FOXC1;ITGB6;CCN4;TNN;BGN;GHRL;MSX1;TGFBR2;TYROBP;DHRS3;WNT1;COL1A1;TRPV4;RARG;SULF1;DDR2;MMP14;TNFSF11;LOX;SFRP4;FBN1;SP5;FBLN5;GREM1;RARB;RUNX2;BMP4;LRRK1;FREM1;PTPRC;BLVRB;MEF2C;TGFB1;TGM2;GHR;ADAMTS12;TLR4;SERPINH1;BMP2;ACTN3;GJA1;OPTC;NOTUM;PLS3;PDGFC;COL27A1;PTGER4;CHAD;HOXA11;HAS2;SIGLEC15;TFAP2A;BMP6;LTBP3;COL13A1;LRRC17;COMP;HOXB4;COL2A1;RFLNA;BNC2;AXIN2"
