"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_ANCHORING_JUNCTION",0.000145053669857847,0.0182872890582471,0.375708997689023,1.41923570040576,0,850,"CLDN14;CLDN20;CLCA2;GJB3;ITGB6;S100A11;ITGA8;GJB2;FAP;STARD8;CASS4;ITGA4;TRPV4;HMCN1;CDH19;DAB2;DDR2;MMP14;PECAM1;PARVG;CD3E;ENG;LCP2;ANXA1;PDGFRB;FLT1;FYB1;GJA5;P2RX7;PMP22;SNTB1;ARHGAP31;ITGB3;ITGA1;AQP7;FLRT2;TRIM29;FXYD1;TGFB1I1;CSPG4;CDC42EP1;CLDN16;ARPC1B;HAVCR2;AHNAK;GJA3;ACTC1;USP53;SYNPO;KRT8;CLDN5;PLAUR;TNS2;FRMD6;GJB1;VAMP5;LAYN;TMEM204;WWTR1;PTPRC;MME;CDH11;SCN1A;ABCC2;TGM2;ITGA5;PHLDB2;TNS3;PRIMA1;FRMPD2;TNC;KIRREL1;JCAD;CCN3;KRT18;DSC3;CGNL1;RRAS;LIMS2;ACTN3;ABCB4;TLN1;GJA1;SCN4B;CDH9;RAB13;CAV1;GJA4;CD99;GJC3;PARVA;GJA8;DLC1;KRT80;HSPB1;SMAD7;ITGB5;PRAG1;MRC2;B2M;CDH6;IGSF5;SCARF2;GSN;KCNJ2;HSPG2;ZNF185;CDH15;FLNC;PGM5;TRIP6;GRHL2;FLRT1;ITGAV;CYBA;ANXA6;CLMP;SLC6A4;CNN1;ICAM1;CDH5;LAMA1;ESAM;NIBAN2;CNN2;FZD1;CCND1;LIMA1;NEDD9;NOX4;MIP;ATP1A2;CSRP1;PDLIM3;SDC4;EPHA2;PLAU;CLDN1;PDLIM2;VCL;MYH9;PLXDC1;PRX;FLNB;MCAM;B4GALT1;EGFR;C1QTNF5;ANXA2;NEXN;SKAP1;SORBS3;LYN;CLDN11;FLNA;FHL3;PLPP3;BCAR3;DSP;TPM4;SLC2A1;EPB41L2;PDLIM7;FHL2;JAG1;ITGB1;RPL9;ACTN1;APOLD1;RHOG;MYZAP;MYH2;CLDN4;CAV2;VIM;TSPAN9;HEG1;SGCA;P4HB;NPHS1;WASF2;TES;TRPC6;ANXA5;FBF1;PTK7;RPL27;PPIB;RPLP1;EHD4;RPS19;FBLIM1;FAT1;RPL31;PKP1;ZYX;CSRP2;SHC1;ADAM9;FHOD1;SVIL;CLDN9;RPL30;RPS9;RPS14;CDH12;FBLN7;AJUBA;HSP90B1;FERMT2;LLGL2;SNAP23;CLDN3;SNTA1;RPL22;CDK4;NRAP;MAP3K1;WTIP;OCEL1;RPS10;NPHP1;WNK4;RHOB;CALR;FAT2;CDCA3;PPFIBP1;BCAR1;BAIAP2L1;CTNNA1;PFN1;FZD4;EFS;LPP;PARD6G;ADA;NECTIN2;RPLP2;RPS11;ILK;TNS1;RPS3;RPL19;VASP;RPL37A;SLC4A2;DSG2;CD151;YAP1;PRICKLE4;SYNM;RPL23;RPL3;RPL7A;RPS7;PLEC;CTNND1;KDR;ADD3;IQGAP1;ARHGAP24;CLDN19;RPS18;DMD;RPL13A;RPS3A;CORO1B;MICALL2;ITGA2B;MXRA8;JAK1;STEAP1;LRP1;PDIA3"
"GOCC_BASEMENT_MEMBRANE",0.000176056338028169,0.0182872890582471,0.604367909996093,1.88893879044038,0,99,"TGFBI;LAMA4;NID2;HMCN1;FN1;LAMA2;COL9A3;LAMC3;COL5A1;ADAMTS1;COL8A2;TIMP3;CCDC80;FBN1;LAMB1;ACTA2;ANXA2P2;COL4A4;FREM1;LOXL2;COL4A1;NID1;SPARC;NPNT;SMOC2;TNC;COL18A1;EFEMP2;COL16A1;MATN2;COL4A2;P3H2;LAMC1;COL8A1;LAMB4;LAMB2;HSPG2;COL13A1;EGFL6;LAMA1;COL2A1;FBLN1;FREM2;LOXL1;ANXA2;NTN5;COLQ;VWA1;VTN;EGFLAM;COL22A1;SPN;TIMP1;ANG;FRAS1;COL4A5;THBS4;COL15A1;CD151;COL4A6;PXDN"
"GOCC_CELL_SUBSTRATE_JUNCTION",0.000158302991926547,0.0182872890582471,0.486602416058471,1.75362370674955,0,410,"ITGB6;ITGA8;FAP;STARD8;CASS4;ITGA4;TRPV4;HMCN1;DAB2;DDR2;MMP14;PARVG;ENG;ANXA1;PDGFRB;FLT1;SNTB1;ARHGAP31;ITGB3;ITGA1;FLRT2;TGFB1I1;CSPG4;CDC42EP1;ARPC1B;AHNAK;ACTC1;PLAUR;TNS2;LAYN;PTPRC;MME;TGM2;ITGA5;PHLDB2;TNS3;TNC;RRAS;LIMS2;ACTN3;TLN1;GJA1;CAV1;CD99;PARVA;DLC1;HSPB1;ITGB5;PRAG1;MRC2;B2M;SCARF2;GSN;HSPG2;ZNF185;FLNC;PGM5;TRIP6;FLRT1;ITGAV;CYBA;ANXA6;SLC6A4;CNN1;ICAM1;CNN2;FZD1;LIMA1;NEDD9;NOX4;CSRP1;SDC4;EPHA2;PLAU;PDLIM2;VCL;MYH9;FLNB;MCAM;EGFR;NEXN;SORBS3;FLNA;FHL3;BCAR3;TPM4;EPB41L2;PDLIM7;FHL2;ITGB1;RPL9;ACTN1;RHOG;CAV2;VIM;TSPAN9;P4HB;NPHS1;TES;ANXA5;PTK7;RPL27;PPIB;RPLP1;RPS19;FBLIM1;FAT1;RPL31;ZYX;CSRP2;SHC1;ADAM9;SVIL;RPL30;RPS9;RPS14;FBLN7;AJUBA;HSP90B1;FERMT2;SNAP23;RPL22;NRAP;RPS10;RHOB;CALR;PPFIBP1;BCAR1;CTNNA1;PFN1;EFS;LPP;NECTIN2;RPLP2;RPS11;ILK;TNS1;RPS3;RPL19;VASP;RPL37A;SLC4A2;CD151;RPL23;RPL3;RPL7A;RPS7;PLEC;IQGAP1;ARHGAP24;RPS18;DMD;RPL13A;RPS3A;CORO1B;ITGA2B;JAK1;LRP1;PDIA3;HSPA5;HSPA1A;PACSIN2;RPS16;HYOU1;LASP1;RPS29;RPL18;RPL7;RPS17;RPLP0;NHERF2;RPS15;RPS8;NUMB;TRIOBP;RPL10A;RPS13;FZD2;ERBIN;RPL38;DOCK7;ITGA6;ACTN4;LIMS1;RPL5;FLRT3;NCSTN;PAK4;XIRP1;RPL8;RPS5;AKAP12;CD81;ITGB2;RPL6"
"GOCC_CELL_SURFACE",0.000148214021046391,0.0182872890582471,0.380134106473611,1.4283939368948,0,774,"CD34;OSMR;CD38;SIRPB1;APOA4;SELL;CFC1B;TLR3;CLEC7A;TMC1;LCT;STRCP1;CX3CR1;CD300E;ITGB6;CD69;SLC6A2;RAET1G;CXCR5;PLAT;WNT3A;TNN;BGN;COL23A1;ITGA8;LY75;CLEC12B;MBL2;TGFBR2;IL7R;TYROBP;FAP;SLITRK6;TNFRSF10C;WNT1;ITGA4;CD80;RS1;AREG;SRPX2;TRPV4;SLAMF8;P2RY12;AZGP1;SULF1;CRYAB;PECAM1;PDGFRA;ITGAL;CD8B;CD3E;CLEC5A;ENG;LPL;ACKR2;FZD10;IL2RB;CD248;TFPI;ADGRG6;CORIN;ANXA1;STAB2;FCRL4;CD1E;SCARA5;ADAMTS15;P2RX7;PLA2R1;LY6G6D;CA4;ITGB3;WNT6;ITGA1;HFE;SMIM1;SFRP4;PRND;CD200R1;TPBG;CSPG4;CD79B;PLVAP;HAVCR2;RSPO2;VASN;IL1R1;DNAI2;GREM1;NT5E;TIGIT;CRIPTO3;CD6;PLAUR;ADGRF5;VAMP5;LAYN;TNFSF18;IL31RA;CXCL12;ADGRA2;PTPRC;FOLR1;IL1RAP;CD163L1;MME;CCRL2;WIF1;THBS1;FCER1G;PKHD1;ABCC2;IL17RC;EGFL8;LPAR1;SPARC;FCGR2A;CD5;ITGA9;TGFB1;CEACAM21;ITGA5;PDGFB;CLEC4M;ACVRL1;GHR;LRRC32;TLR4;MILR1;PTPRT;FLT3LG;BMP2;WNT5A;CD163;ENPP3;NTSR1;TLN1;MICA;CPM;TNFRSF11A;TNFRSF10D;BTN1A1;THBD;TLR2;FAS;PDGFC;EPO;COLEC10;CYP2W1;AQP4;LRP4;TGFBR3;SERPINA5;HLA-E;ITGB5;GPC6;TNFRSF12A;B2M;ITGA10;IGSF5;KCNE2;IL6R;C1S;FCGRT;LGALS3;BTN3A2;GPR37;SDC2;ITGAV;IL9R;CLMP;ICAM1;MFGE8;CD109;CDH5;SCNN1B;IL21R;CD226;SLC6A3;CD1D;CD4;IL18R1;ADAM29;FZD1;ADAMTS9;MELTF;PTGFRN;ATP1A2;BTN2A3P;ANXA4;CCR4;GFRA1;SDC4;EPHA2;ABCB1;CD83;PCSK6;PLAU;TGFA;FZD6;MYH9;NOTCH2;SRPX;MCAM;B4GALT1;P2RX1;AXL;ADAM20;EGFR;CHRNA1;ANXA2;CD58"
"GOCC_COLLAGEN_TRIMER",0.000178539546509552,0.0182872890582471,0.668561232857764,2.01997933910597,0,77,"COL6A3;COL3A1;COL1A2;COL5A2;COLEC12;COL23A1;LUM;COL21A1;MBL2;OTOL1;COL1A1;EMILIN1;COL9A3;COL6A2;COL19A1;COL5A1;COL10A1;COL8A2;C1QTNF7;CCBE1;LOX;COL14A1;COL12A1;COL6A6;COL11A1;COL4A4;EMILIN2;COL4A1;COL5A3;COL18A1;COL16A1;C1QL4;COL25A1;COLEC10;COL4A2;COL9A2;COL27A1;COL11A2;COL8A1;C1QTNF6;COL20A1;COL13A1;C1QTNF8;COL26A1;COL2A1"
"GOCC_COMPLEX_OF_COLLAGEN_TRIMERS",0.000185356811862836,0.0182872890582471,0.809602184190492,2.10460535946366,0,32,"COL6A3;COL3A1;COL1A2;COL5A2;LUM;COL1A1;COL9A3;COL6A2;COL5A1;COL10A1;COL8A2;COL14A1;COL12A1;COL6A6;COL11A1;COL4A4;COL4A1;COL5A3;COL16A1;COL4A2;COL9A2;COL27A1;COL11A2;COL8A1"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN",0.000162100826714216,0.0182872890582471,0.536227375796932,1.89505334968723,0,311,"COL6A3;APOA4;FMO1;COL3A1;COL1A2;LGALS1;ARSH;COL5A2;WNT3A;COL23A1;GHRL;IGFBP7;COL21A1;WNT1;COL1A1;ENAM;EBI3;FN1;COL9A3;COL6A2;COL19A1;COL5A1;COL10A1;ARSJ;DMP1;COL8A2;WNT6;SPARCL1;FBN1;LAMB1;COL14A1;EVA1A;COL12A1;IGFBP5;F5;PENK;COL11A1;SPP1;COL4A4;PROZ;ADAMTSL1;BMP4;PLAUR;ARSI;COL4A1;THBS1;P4HA3;EDN1;ERP27;PDGFB;IGFBP3;COL5A3;TNC;FSTL1;SERPINH1;IGFBP4;WNT5A;COL18A1;CSF1;COL16A1;GPX7;PTGS2;NOTUM;GPX8;ADAMTS5;APOE;PDGFC;COL25A1;CYP2W1;POGLUT3;CTSC;COL4A2;COL9A2;COL27A1;P4HA1;P3H2;IL23A;LAMC1;COL11A2;COL8A1;B2M;LAMB2;CP;SDC2;COL20A1;COL13A1;CASQ2;SUMF1;APOA1;MFGE8;CD4;COL26A1;SERPINC1;MELTF;SELENOM;COL2A1;ARSL;CALU;CCN1;PDGFD;FKBP10;PDIA5;PNPLA2;SRL;BCHE;STC2;CERCAM;SIL1;CRTAP;FKBP14;WNT4;MATN3;IL12A;P3H1;GPC3;ADAMTS7;COL9A1;P4HA2;F2;VWA1;ERAP2;VTN;P4HB;H6PD;CTSZ;ACE2;GIP;VCAN;PPIB;COL22A1;COLGALT2;PCSK9;TIMP1;APOL1;NUCB1;POGLUT2;SERPING1;WNT7B;PRSS23;EDEM2;BGLAP;HSP90B1;WNT3;PLOD3;PDIA4;COL4A5;HRC;CALR;COL15A1"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",0.000156079288278445,0.0182872890582471,0.56286142276709,2.04667668179786,0,463,"MGP;COL6A3;OGN;OMD;ANXA8;GDF10;TGFBI;COL3A1;COL1A2;POSTN;CCIN;WNT11;MATN4;LGALS1;COL5A2;CCN4;LAMA4;COLEC12;PLAT;TNN;BGN;COL23A1;LUM;IGFBP7;NID2;COL21A1;KERA;PRG4;COL1A1;ENAM;SRPX2;FBLN2;HMCN1;SULF1;MMP14;EMILIN1;MFAP4;FN1;LAMA2;OLFML2A;COL9A3;ASPN;COL6A2;LAMC3;COL19A1;WNT2;COL5A1;DCN;CD248;ECM2;ANGPTL7;COL10A1;ITIH5;RBP3;ANXA1;ESM1;ADAMTS1;DMP1;COL8A2;ACAN;ADAMTS15;TIMP3;CCDC80;CCBE1;SPAG6;OLFML2B;LTBP2;LOX;WNT6;DSPP;FLRT2;ANGPTL6;SPARCL1;ADAMTSL5;FBN1;TGFB1I1;LAMB1;COL14A1;CSPG4;FBLN5;ADAMTS4;TGM4;COL12A1;COL6A6;ACTA2;GREM1;PCOLCE;ANXA2P2;HAPLN1;MXRA5;CCN2;COL11A1;COL4A4;HPSE2;SEMA3B;ELN;CPZ;FREM1;LOXL2;CBLN1;CXCL12;EMILIN2;WNT2B;COL4A1;NID1;ADAMTSL3;THBS1;PODN;SPARC;NPNT;CLC;TGFB1;RARRES2;TGM2;PDGFB;MMP2;PKHD1L1;PLOD2;SMOC2;COL5A3;ADAMTS12;PRTN3;TNC;CCN3;SERPINA3;SERPINH1;WNT5A;SNED1;COL18A1;EFEMP2;HTRA1;KAZALD1;FBN2;COL16A1;VIT;SFRP2;OPTC;MATN2;AGT;ADAMTS5;APOE;COL25A1;TNFRSF11B;MFAP2;LOXL4;CTSC;ADAMTS6;COL4A2;TFPI2;COL9A2;COL27A1;P3H2;HAPLN3;LAMC1;COL11A2;SERPINA5;BMPER;GPC6;ADAMTS16;COL8A1;PTX3;ADAMTS3;LAMB4;LAMB2;HSPG2;ADAMTS18;ANGPT1;AEBP1;LGALS3;SSC5D;LTBP3;SDC2;FLRT1;TGFB2;SPON2;CBLN4;COL20A1;COL13A1;ANXA6;ANXA11;BMP7;EGFL6;ICAM1;MFGE8;COMP;LAMA1;LOXL3;COL26A1;SERPINC1;ADAMTS9;COL2A1;EMILIN3;ADAMTS8;EFEMP1;ANXA4;CCN1;PCSK6;FBLN1;CRISPLD2;ADAMTS14;FREM2;SRPX;MMP3;LOXL1;ANXA2;NYX;WNT4;NTN5;MATN3;COLQ;MDK;PLOD1;P3H1;EGFL7;MMP19;ADAMTS7;COL9A1;FIBCD1;F2;ADAMTS2;SSPOP;VWA1;TNXB;TSPAN9;VTN;ANGPTL2"
"GOCC_INTERSTITIAL_MATRIX",0.000184399778720266,0.0182872890582471,0.807923134026751,2.08641846692234,0,31,"COL3A1;COL1A2;COL5A2;LUM;COL1A1;COL9A3;COL5A1;ECM2;COL10A1;COL8A2;CCDC80;COL14A1;COL12A1;COL11A1;COL5A3;TNC;KAZALD1;COL16A1;VIT;COL9A2;COL27A1;COL11A2;COL8A1;COL26A1;COL2A1"
"GOCC_RECEPTOR_COMPLEX",0.000157554750275721,0.0182872890582471,0.405779188337025,1.46503549327055,0,418,"OSMR;IL33;CHRNG;CXCL8;ITGB6;LTB;ITGA8;TLR10;ERBB3;TGFBR2;IL7R;IL22RA1;ITGA4;TIE1;EBI3;KCTD12;DDR2;EMILIN1;PDGFRA;ITGAL;CD8B;TREM2;IL1A;CD3E;ENG;IL2RB;PDGFRB;FLT1;PTH1R;PLA2R1;ITGB3;PPARG;ITGA1;HFE;CD200R1;CD79B;GPRC5A;NR3C2;IL1R1;CHRNB3;IL19;CD6;BIRC3;IL31RA;TRAC;MUSK;IL1RAP;TRIL;CCRL2;AMN;ITGA9;TGFB1;RARRES2;ITGA5;ACVRL1;GHR;TLR4;SYK;PTPRB;BMP2;INSRR;CSF1;PLXND1;ACKR1;TLR2;TNFRSF11B;NRP2;ITPR3;LOXL4;ROR2;IL23A;TGFBR3;ITGB5;CALCR;CMKLR2;LTK;ROR1;B2M;ITGA10;EPS8;IL6R;GPR37;TGFB2;ITGAV;CMKLR1;NR1H4;GPRC5C;ERBB4;CD4;IL18R1;GABRE;AHR;ITLN1;GFRA1;EPHA2;LRP1B;GPR101;PLXNA4;IL11;PLXDC1;NOTCH2;EPHB4;GRID2;AXL;EGFR;VLDLR;CHRNA1;SMAD3;SKAP1;LYN;FLNA;IL10RB;FGFR2;IL4R;CD36;GRIK2;DRD1;IRS1;CACNG5;IL12A;GRIN3B;ITGB1;TNFRSF1A"
