"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ANGIOGENESIS",0.00018254837531946,0.0018254837531946,0.739642073568477,1.89294726752357,0,31,"CXCL6;COL3A1;POSTN;COL5A2;LUM;MSX1;LPL;SLCO2A1;SPP1;FSTL1;THBD;SERPINA5;ITGAV;JAG1;VTN;VCAN;TIMP1;CCND2"
"HALLMARK_APOPTOSIS",0.000171115674195756,0.0018254837531946,0.533345976467746,1.75179304264026,0,152,"CD38;CD69;PLAT;BGN;LUM;ERBB3;CASP4;AVPR1A;GSTM1;IL1A;DCN;ANXA1;PDGFRB;EMP1;HGF;TIMP3;IER3;GADD45B;BIRC3;MMP2;BMF;BMP2;KRT18;IFITM3;CDKN1A;CAV1;FAS;AIFM3;HSPB1;TGFBR3;SMAD7;TNFRSF12A;GSN;LGALS3;TGFB2;IGFBP6;CCND1;NEDD9;JUN;DPYD;BCL2L11;BTG3;DAP;CASP7;F2;BAX;CDK2;LMNA;CASP8;ATF3;CASP6;IRF1;TIMP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000169981302056774,0.0018254837531946,0.703259681808204,2.37823790032237,0,198,"CXCL6;MGP;COL6A3;CXCL8;CXCL1;TGFBI;COL3A1;COL1A2;POSTN;LGALS1;PRRX1;INHBA;COL5A2;SNAI2;BGN;LUM;NID2;MSX1;FAP;COL1A1;AREG;FBLN2;DAB2;MMP14;FN1;LAMA2;COL6A2;FOXC2;COL5A1;DCN;ECM2;PDGFRB;LRRC15;COL8A2;PMP22;SNTB1;TIMP3;ITGB3;MYL9;LOX;SFRP4;TPM2;FBN1;FBLN5;COL12A1;EMP3;GADD45B;ACTA2;GREM1;PCOLCE;NT5E;MXRA5;CCN2;COL11A1;SPP1;TAGLN;ELN;PLAUR;LOXL2;CXCL12;COL4A1;CDH11;THBS1;DKK1;SPARC;TGFB1;TGM2;ITGA5;MMP2;IGFBP3;PLOD2;COL5A3;TNC;FSTL1;SERPINH1;IGFBP4;WNT5A;PMEPA1;EFEMP2;HTRA1;FBN2;CALD1;ID2;COL16A1;GJA1;GPX7;MATN2;FAS;TNFRSF11B;VEGFC;SGCG;COL4A2;TFPI2;BMP1;LAMC1;TGFBR3;ITGB5;TNFRSF12A;PTX3;CDH6;ITGAV;SLIT3;COMP;WIPF1;LAMA1;IGFBP2;CALU;JUN;CCN1;SDC4;TPM1;FBLN1;NOTCH2;MMP3;NTM;LOXL1;FLNA;PCOLCE2;TPM4;MATN3;PLOD1;P3H1;ITGB1;TNFAIP3;GAS1;VIM;SDC1;MEST"
"HALLMARK_MYOGENESIS",0.000169779286926995,0.0018254837531946,0.541179385818682,1.82279501047914,0,190,"CHRNG;IGF1;COL6A3;COL3A1;SLN;MYOG;IGFBP7;ERBB3;MYH4;COL1A1;CRYAB;LAMA2;COL6A2;MYL3;SOD3;MYL11;GJA5;TNNC1;TPM2;FXYD1;GADD45B;TPD52L1;TNNT2;ACTC1;TAGLN;WWTR1;SPHK1;SPARC;MEF2C;TGFB1;IGFBP3;MYL7;TNNI1;ACTN3;CDKN1A;NQO1;SGCG;CTF1;COL4A2;HSPB2;ITGB5;GSN;AEBP1;APOD;CASQ2;MYL4;CKMT2;ENO3;MYH9;STC2;CHRNA1;SORBS3;CD36;PDLIM7;HSPB8;ITGB1;VIPR1;MYH2"
"HALLMARK_UV_RESPONSE_DN",0.000171438367906738,0.0018254837531946,0.520347428183355,1.69905985193704,0,144,"COL3A1;COL1A2;COL5A2;SNAI2;TGFBR2;COL1A1;DAB2;TFPI;ID1;PDGFRB;PMP22;ITGB3;PPARG;FBLN5;IGFBP5;COL11A1;NR3C1;LPAR1;GJA1;CAV1;DLC1;LAMC1;TGFBR3;NFIB;SMAD7;HAS2;SDC2;EFEMP1;ANXA4;CCN1;NOTCH2;INPP4B;VLDLR;ANXA2;SMAD3;PLPP3;IRS1;FHL2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000509857239972808,0.00424881033310673,0.455400334428224,1.53547175504396,2,192,"CXCL6;CXCL1;CCL20;CD69;INHBA;CXCL2;IL7R;TNFAIP6;CD80;AREG;IL1A;PLEK;CCL2;CXCL3;IER3;GADD45B;CEBPD;BIRC3;PLAUR;NR4A2;SPHK1;CCRL2;ZFP36;EDN1;HES1;PLK2;TNC;BMP2;PMEPA1;CSF1;ID2;PTGS2;CDKN1A;TLR2;PTGER4;IL23A;TGIF1;PTX3;LITAF;SPSB1;IER5;ICAM1;PHLDA1;CCND1;JUN;CCN1;SDC4;CD83;PLAU;SOCS3;B4GALT1;SERPINB2;SMAD3;BCL6;PLPP3;SIK1;BTG3;JAG1;LIF;TNFAIP3;FJX1;ICOSLG;ATF3;SGK1;TNFAIP8;DRAM1;KLF10;TRIP10;IRF1"
"HALLMARK_IL2_STAT5_SIGNALING",0.00135455469014561,0.00967539064389725,0.446926124868315,1.5003196017595,7,183,"SELL;GBP4;ICOS;LTB;S100A1;DHRS3;IL2RB;ITIH5;TNFSF11;EMP1;PTH1R;RHOH;CD79B;GADD45B;AHNAK;NT5E;PTGER2;PENK;WLS;SPP1;GATA1;CAPN3;TGM2;DRC1;FLT3LG;BMP2;NFKBIZ;CSF1;IFITM3;SOCS1;P4HA1;CISH;ITGAV;PHLDA1;IL18R1;SERPINC1;AHR;ANXA4;CCR4;ENO3;ABCB1;CD83;GLIPR2;IL4R;FAH;LIF;ARL4A;PLSCR1;CTSZ"
"HALLMARK_APICAL_JUNCTION",0.00170039108995069,0.0106274443121918,0.434068851254918,1.46526631175946,9,194,"CD34;CLDN14;TGFBI;ICAM4;MPZL2;ACTG2;PECAM1;FYB1;DMP1;MYL9;FBN1;ICAM2;ACTC1;CLDN5;LAYN;PTPRC;CDH11;AMIGO2;ITGA9;MMP2;SYK;DSC3;RRAS;ACTN3;COL16A1;ADAMTS5;CD99;LDLRAP1;TNFRSF11B;PARVA;BMP1;CDH6;ITGA10;CDH15;FLNC;ICAM1;CNN2;LIMA1;VCL;MYH9;B4GALT1;CERCAM;EGFR;NEXN;SORBS3;CLDN11;EPB41L2;IRS1;MDK;ITGB1;COL9A1;ACTN1;CLDN4;CD274;VCAN;ADRA1B;ZYX;SHC1;ADAM9;CLDN9;NRTN;NRAP;WNK4;CTNNA1;PFN1;PARD6G;NECTIN2;SLC30A3;VASP;MAP3K20"
"HALLMARK_KRAS_SIGNALING_UP",0.00203665987780041,0.0113147770988912,0.433886087514212,1.4583979943442,11,186,"PEG3;IL33;CFH;CCL20;PRRX1;INHBA;MPZL2;PLAT;IL7R;ALDH1A3;PECAM1;ETS1;PLEK2;IGF2;ENG;TFPI;PSMB8;EMP1;H2BC3;CIDEA;SPARCL1;PLVAP;TNNT2;SPP1;SEMA3B;BIRC3;PLAUR;LAPTM5;ADGRA2;GNG11;FCER1G;HKDC1;NGF;IGFBP3;SERPINA3;BMP2;ID2;PTGS2;MAFB;GYPC;TMEM176A;PRDM1;APOD;C3AR1;CMKLR1;NR1H4;PTPRR;ADGRL4;ABCB1;PLAU"
"HALLMARK_HYPOXIA",0.00238297872340426,0.0119148936170213,0.431523120026254,1.45535892868796,13,193,"TGFBI;BGN;HOXB9;SULT2B1;ETS1;COL5A1;DCN;CAVIN3;LOX;EDN2;TPBG;IER3;CAVIN1;CCN2;ADM;PLAUR;NR3C1;ZFP36;TGM2;PDGFB;IGFBP3;INHA;KDELR3;CDKN1A;CAV1;P4HA1;CP;CHST2;SLC2A5;SDC2;LXN;CHST3;JUN;CCN1;ENO3;SDC4;MYH9;HAS1;SRPX;STC2;EGFR;VLDLR;ANXA2;TMEM45A;SLC2A1;STBD1;GPC3;P4HA2;TNFAIP3;SELENBP1;TES;CA12;ATF3;CASP6;EXT1;PKP1;CSRP2;BRS3;MAP3K1;PHKG1;CITED2;ADORA2B;PNRC1;HEXA;FOSL2;ISG20;MT2A;HSPA5;DDIT4;PLIN2"
