"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_COLLAGEN_METABOLIC_PROCESS",0.000169520257670792,0.134429564332938,0.549226032237553,1.77907545415478,0,99,"MMP7;SERPINB7;COL1A2;INHBA;COL1A1;MMP14;MMP13;MFAP4;TGFB1;EMILIN1;COL5A1;MMP19;ID1;MMP23B;DDR2;BMP4;RGCC;PCOLCE;ADAMTS14;IHH;FAP;IL6R;PRTN3;PLOD2;SERPINH1;P3H2;MMP2;TRAM2;MRC2;NAGLU;P2RX7;P3H3;MMP21;F2;UCN;MMP10;FOSL2;CTSL;P3H1;ITGB1;TNS2;SERPINF2"
"GOBP_INFLAMMATORY_RESPONSE",0.000136556056261095,0.134429564332938,0.34823651822206,1.3552746918491,0,770,"CXCL1;GGT5;CXCL6;CCL27;CXCL2;CHI3L1;CYP19A1;OSMR;STING1;ITGB6;TLR3;HBA1;GBP5;FPR3;IL33;NLRP6;CCL20;IL18;PTGIR;CD40LG;IL22RA1;AGT;IL21;GPR31;GHRL;P2RX1;CCL4L2;CX3CR1;ODAM;SPINK7;CD69;ITGB2;ITGAL;CCR1;CLEC7A;SYK;CCN4;CXCL3;ALOX5AP;IGF1;TNFSF11;FFAR2;FN1;ANXA1;FABP4;TNFSF18;ADIPOQ;ACKR1;TAFA3;CD200R1;CXCR2;SLC11A1;LCN10;CD163;IER3;NOS2;TGFB1;TLR4;PPARG;HRH4;APOL3;CXCR6;WFDC1;SERPINE1;CASP4;GATA3;IL17RC;GPR141;ACKR2;IL31RA;HP;HGF;LRRC19;GBP3;LGALS1;IL17C;AIF1;CCL2;LY75;TNFAIP6;CXCL5;STAP1;NUPR1;TNC;ADM;TNF;NFATC4;MEFV;APOA1;IL1A;CDH5;NEAT1;CD6;EPO;CFH;AHSG;RAB44;CXCL13;TNFSF4;IFI27;OSM;BST1;ZC3H12A;ZFP36;LTA;TNFRSF11A;TRPV4;KCNK13;RARRES2;PTPRC;ETS1;PBXIP1;TLR5;BLNK;NLRC4;ENPP3;IL6R;SIGLEC10;NFKBIZ;GSDMB;NOX4;IL17RA;CYBA;AGTR2;PTGS2;TNFAIP8L2;TLR2;BDKRB2;NPY;LRRK2;STAB1;SERPINA1;PTGER1;IL17RE;LXN;ADAMTS12;NLRP14;BIRC3;HBB;FAM114A1;SAA2;FCER1G;FABP1;MDK;SIGLEC1;UNC13D;MAS1;CASP3;GPSM3;AOC3;NT5E;CSRP3;TMEM258;NR3C1;CSF1;VAMP8;CTSC;ELF4;IFI35;NFATC1;RPS19;VNN1;GPER1;IL4R;HMGB2;PLK2;EPHA2;TLR1;CCR4;NAGLU;PSTPIP1;JUN;SOCS3;MGST2;P2RX7"
"GOBP_SYNAPTIC_SIGNALING",0.000379650721336371,0.200708681346495,-0.325886708600378,-1.34088132267012,0,807,"UTS2;TH;HTR5A;ADRA1A;HTR4;GALR3;GABRA1;CDH1;GRM7;LYNX1;HTR3B;PCDHB6;PCDHB5;GAD2;INSYN2A;CRHR2;EGR3;HCN1;DLGAP2;TNR;HTR2A;SLC32A1;NRXN3;GRIA1;RGS4;CHRNA6;GABRR1;GRIN1;DRD1;DYSF;LY6H;CADPS2;GLRA2;CHRNA2;ADCY8;SV2C;ACE;SLC5A7;HCRTR2;VGF;SGCZ;SCN2B;NOS1;HCRTR1;IL1RAPL1;ADORA2A;GRIN2B;PHF24;CACNB2;HTR2C;SLC7A10;RPH3A;CAMK2A;RASD2;MET;CHRM2;LY6S;GABRG1;BDNF;ABCC8;WNT7A;TACR2;SYT9;GABRG2;GRIN2C;NRN1;GABRA2;GABRG3;SYT2;GABRA5;UNC13C;HAP1;PDYN;CHRM3;HTR1E;GRIK4;P2RX5;DRP2;SLC1A3;EPHB1;NALCN;NPTX1;DLG2;KCNIP1;PRKAR1B;SYN2;CALB1;PLP1;SYN3;NTRK2;SHISA8;NEFL;PLPPR4;GUCY1A1;HTR3A;RAB3B;DOC2B;PTCHD1;SLC6A1;RIMS1;DCC;ARC;ITPKA;GABRA3;COMT;OPHN1;GRM3;GRM5;ABAT;PPFIA2;DLGAP1;DOC2A;NPY2R;SLC24A2;PCDHB13;APBA1;HTR1B;KCNJ10;ZDHHC2;ABTB3;SYN1;RASGRF2;SNCA;GFAP;CELF4;SNCB;DRD5;LRRTM1;ADRB2;HTR1D;SLC17A8;SERPINE2;PTPRN2;FRRS1L;RIMBP3C;GABRQ;NEFH;MCTP1;GJD2;SYT1;NLGN4X;RPS6KA3;MPZ;LRRC4C;SHISA7;RGS8;ITPR3;CBLN2;ACHE;SLC1A6;SHANK2;HTR2B;SYT13;ADAM22;TMOD2;TMEM108;CAMK2B;GRIN3A;CHAT;SHANK3;KCNC4;P2RY1;DSCAM;IGSF21;NR2E1;SLC4A8;GNAO1;NRXN2;LRFN2;CACNG8;FAAH;KIF5A;SLC6A4;PRKN;FGF12;CHRNA4;NEURL1;GLRA1;BAIAP3;SLC4A10;CX3CL1;LIN7C;SLC8A3;FBXO41;SNCG;NLGN3;GRIN2A;PSCA;HTR6;CHRM1;SYT5;PCDHB11;GLRA3;JPH4;SNCAIP;RELN;PNOC;KCNB1;CACNA1G;CASK;SLC6A5;MBP;CACNA1A;ADORA1;SLC1A1;RPS6KA2;SNAP25;GRM6;RAP1BL;MAP1B;JPH3;SLC1A4;UNC13A;FBXO2;AMPH;PREPL;GPR176;NSG1;NRXN1;MAP1A;CACNG2;KCNK2;ETV5;SYP;PRKCG;CRHBP;GABRB2;GABBR2;MAPT;AP2B1;NAPB;CALB2;CSPG5;NLGN1;RASGRF1;ERC2;SEPTIN5;PPP3CA;CLSTN3;PXK;CRH;OPRL1;DTNB;SYNGR3;DTNA;DLGAP3;SYAP1;PLCL1;GRIK5;ELOVL4;RIMS2;TENM2;STX1B;STAU2;PDE7B;RGS14;SHANK1;PRKCZ;PRKAR2A;MICU3;SLC6A6;SV2A;CPLX1;SYT3;RAPGEF2;RIMS3;CACNB1;AKAP5;VPS35;LRRC4;PRNP;SYNGR1;GLRB;SV2B;PRR7;ATXN1;PRKCE;GRIK1;CLCN3;CHRNB2;GDNF;CPEB3;FGF22;BEGAIN;CPLX2;GRM1;SYNJ1;HOMER2;SLC17A6;GABRB1;CYP46A1;CACNB4;RPS6KA1;GRIA4;DRD3"
"GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL",0.000686813186813187,0.269498725573492,-0.600240260952467,-1.82951882137732,2,53,"GRIA1;RGS4;GRIN1;GRIN2B;WNT7A;GRIN2C;PRKAR1B;RIMS1;GRM5;NPY2R;CELF4;ADRB2;NLGN4X;TMEM108;SHANK3;PRKN;SLC8A3;NLGN3;GRIN2A;RELN;PNOC;NRXN1;NLGN1;ELOVL4;RIMS2;STX1B;SHANK1;PRKCZ"
"GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.000849617672047579,0.269498725573492,0.500597825667997,1.63322672132689,4,105,"ITGA8;INHBA;CDKN2B;MSX2;FOXD1;TGFB1;SULF1;ENG;BMP4;TGFB1I1;BMP5;BMPER;CDH5;CCN1;DAB2;SLC2A10;MSX1;ATOH8;HFE;GDF6;GDF7;LRG1;GPC3;NPNT;MYOCD;GDF5;ACVRL1;TGFBR2;KCP;THBS1;HES1;BMP7;TGFB2;AMH;BMP2;ILK"
"GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.00156739811912226,0.414315569487983,0.395070067617161,1.42771912416,9,274,"DAND5;ITGA8;INHBA;CER1;CDKN2B;OVOL2;MSX2;FOXD1;GREM1;FOLR1;TGFB1;EMILIN1;PPARG;SULF1;CAV1;ENG;TNFAIP6;BMP4;TGFB1I1;BMP5;LRRC32;LOX;BMPER;VASN;CDH5;SMAD6;WFIKKN1;CCN1;DAB2;SLC2A10;FST;TFAP2B;MSX1;ATOH8;CAV3;HFE;GDF6;CHRD;HTRA3;CAV2;SMAD7;FBN2;GDF7;LRG1;BAMBI;GPC3;NPNT;FBN1;MYOCD;PMEPA1;LDLRAD4;RASL11B;SFRP2;DACT1;TGFBR3L;CRIM1;WNT1;GDF5;ACVRL1;TGFBR2;SPRY1;KCP;THBS1;HES1;SFRP4;BMP7;DKK1;PCSK6;TGFB2;AMH;ERFE;FZD1;FSTL1"
"GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING",0.00253439536567705,0.421071752951862,0.686528645131895,1.76771590932279,13,26,"TLR3;IL33;TGFB1;TLR4;PPARG;TNF;IL1A;SIGLEC10;NFKBIZ;MDK"
"GOBP_NEUROTRANSMITTER_TRANSPORT",0.00318809776833156,0.421071752951862,-0.385738743162713,-1.43022193874884,11,217,"SLC6A7;SLC28A2;SLC32A1;DRD1;DYSF;CADPS2;SV2C;SLC5A7;NOS1;SLC18A1;ADORA2A;RPH3A;CAMK2A;ABCC8;WNT7A;TACR2;SYT9;SYT2;UNC13C;SLC6A11;SLC1A3;SYN2;SYN3;RAB3B;DOC2B;SLC6A1;RIMS1;PPFIA2;DOC2A;KCNJ10;SYN1;SNCA;GFAP;SLC6A17;SLC17A8;PTPRN2;GABRQ;MCTP1;SYT1;SLC1A6;SYT13;CHAT;P2RY1;SLC4A8;SLC6A13;NRXN2;SLC6A4;PRKN;BAIAP3;LIN7C;SNCG;SYT5;ICA1;SNCAIP;PNOC;CASK;SLC6A5;SLC1A1;SNAP25;RAP1BL;UNC13A;PREPL;NRXN1;SYP;PRKCG;AP2B1;NAPB;CSPG5;NLGN1;ERC2;SEPTIN5;PPP3CA;CRH;SYNGR3;GRIK5;RIMS2;STX1B;MICU3;SLC6A6;SV2A;CPLX1;RIMS3;SV2B;GDNF;CPLX2;SYNJ1;SLC17A6;CACNB4;DRD3"
"GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL",0.0022202486678508,0.421071752951862,-0.658468377368826,-1.83022196322984,9,33,"GRIA1;RGS4;GRIN1;GRIN2B;WNT7A;GRIN2C;PRKAR1B;RIMS1;ADRB2;SHANK3;NLGN3;GRIN2A;RELN;NRXN1;NLGN1;RIMS2;STX1B;SHANK1;PRKCZ"
"GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS",0.00286327845382963,0.421071752951862,0.605635255505957,1.67865238225021,15,38,"SERPINB7;INHBA;MFAP4;TGFB1;EMILIN1;DDR2;BMP4;RGCC;IHH;FAP;IL6R"
